recv[128] = -1.068674, LLR [128] = 0.000000
recv[129] = 1.198629, LLR [129] = 0.000000
recv[130] = 1.202538, LLR [130] = 0.000000
recv[131] = -1.003893, LLR [131] = 0.000000
recv[132] = 0.938758, LLR [132] = 0.000000
recv[133] = -1.135512, LLR [133] = 0.000000
recv[134] = 0.821162, LLR [134] = 0.000000
recv[135] = -0.899117, LLR [135] = 0.000000
recv[136] = -0.966282, LLR [136] = 0.000000
recv[137] = -0.923574, LLR [137] = 0.000000
recv[138] = 1.099586, LLR [138] = 0.000000
recv[139] = 1.067973, LLR [139] = 0.000000
recv[140] = 1.017591, LLR [140] = 0.000000
recv[141] = -1.006071, LLR [141] = 0.000000
recv[142] = -0.967525, LLR [142] = 0.000000
recv[143] = -1.022890, LLR [143] = 0.000000
recv[144] = -1.107858, LLR [144] = 0.000000
recv[145] = -1.001318, LLR [145] = 0.000000
recv[146] = -1.075860, LLR [146] = 0.000000
recv[147] = 0.959377, LLR [147] = 0.000000
recv[148] = 1.013172, LLR [148] = 0.000000
recv[149] = -0.888860, LLR [149] = 0.000000
recv[150] = 1.104439, LLR [150] = 0.000000
recv[151] = 1.000264, LLR [151] = 0.000000
recv[152] = -1.092162, LLR [152] = 0.000000
recv[153] = 0.994873, LLR [153] = 0.000000
recv[154] = 0.958669, LLR [154] = 0.000000
recv[155] = 0.980020, LLR [155] = 0.000000
recv[156] = -1.102939, LLR [156] = 0.000000
recv[157] = -0.977520, LLR [157] = 0.000000
recv[158] = 1.088650, LLR [158] = 0.000000
recv[159] = 1.010189, LLR [159] = 0.000000
recv[160] = 1.006690, LLR [160] = 0.000000
recv[161] = -0.868516, LLR [161] = 0.000000
recv[162] = 0.846859, LLR [162] = 0.000000
recv[163] = -1.089332, LLR [163] = 0.000000
recv[164] = 1.148186, LLR [164] = 0.000000
recv[165] = -0.978002, LLR [165] = 0.000000
recv[166] = -0.942837, LLR [166] = 0.000000
recv[167] = 0.846822, LLR [167] = 0.000000
recv[168] = 0.990363, LLR [168] = 0.000000
recv[169] = -0.904124, LLR [169] = 0.000000
recv[170] = -0.949784, LLR [170] = 0.000000
